id,account_status,months,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,guarantors,residence,property,age,other_installments,housing,credit_cards,job,dependents,phone,foreign_worker,credit_rating
234,x < 0 DM ,6,existing credits paid back duly till now ,radio/television ,2647,500 <= x < 1000 DM ,1 <= x < 4 years ,2,male - single ,none ,3,real estate ,44,none ,rent ,1,skilled employee / official,2,none ,yes ,1
235,no checking account ,18,critical account/ other credits existing (not at this bank) ,radio/television ,1800,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",24,none ,own ,2,skilled employee / official,1,none ,yes ,1
236,no checking account ,12,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1402,500 <= x < 1000 DM ,4 <= x < 7 years ,3,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",37,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
237,no checking account ,21,existing credits paid back duly till now ,business ,1572,x>= 1000 DM ,x>= 7 years ,4,female - divorced/separated/married ,none ,4,real estate ,36,bank ,own ,1,unskilled - resident,1,none ,yes ,1
238,no checking account ,24,critical account/ other credits existing (not at this bank) ,others ,6314,x < 100 DM ,unemployed ,4,male - single ,co-applicant ,2,unknown / no property ,27,bank ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
239,x < 0 DM ,21,existing credits paid back duly till now ,furniture/equipment ,3599,x < 100 DM ,4 <= x < 7 years ,1,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",26,none ,rent ,1,unskilled - resident,1,none ,yes ,1
240,no checking account ,18,existing credits paid back duly till now ,radio/television ,4594,x < 100 DM ,x < 1 year ,3,male - single ,none ,2,"car or other, not in attribute Account ",32,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
241,x < 0 DM ,12,existing credits paid back duly till now ,radio/television ,727,100 <= x < 500 DM ,x < 1 year ,4,male - married/widowed ,none ,3,unknown / no property ,33,none ,own ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,2
242,no checking account ,36,critical account/ other credits existing (not at this bank) ,car (used) ,11054,unknown/ no savings account ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",30,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
243,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,3234,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,4,real estate ,23,none ,rent ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,2
244,x < 0 DM ,6,all credits at this bank paid back duly ,education ,1198,x < 100 DM ,x>= 7 years ,4,female - divorced/separated/married ,none ,4,unknown / no property ,35,none ,for free ,1,skilled employee / official,1,none ,yes ,2
245,0 <= x < 200 DM ,12,existing credits paid back duly till now ,furniture/equipment ,983,x>= 1000 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,4,real estate ,19,none ,rent ,1,unskilled - resident,1,none ,yes ,1
246,0 <= x < 200 DM ,36,existing credits paid back duly till now ,car (new) ,14318,x < 100 DM ,x>= 7 years ,4,male - single ,none ,2,unknown / no property ,57,none ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
247,x < 0 DM ,30,existing credits paid back duly till now ,furniture/equipment ,6350,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,31,none ,own ,1,skilled employee / official,1,none ,yes ,2
248,no checking account ,24,critical account/ other credits existing (not at this bank) ,radio/television ,2684,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,real estate ,35,none ,own ,2,unskilled - resident,1,none ,yes ,1
249,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (new) ,1201,x < 100 DM ,x < 1 year ,4,male - single ,none ,1,building society savings agreement/ life insurance ,26,none ,own ,1,skilled employee / official,1,none ,yes ,1
250,x < 0 DM ,8,critical account/ other credits existing (not at this bank) ,others ,1164,x < 100 DM ,x>= 7 years ,3,male - single ,none ,4,unknown / no property ,51,bank ,for free ,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name ",yes ,1
251,no checking account ,10,existing credits paid back duly till now ,car (new) ,1597,500 <= x < 1000 DM ,1 <= x < 4 years ,3,male - single ,none ,2,unknown / no property ,40,none ,rent ,1,unskilled - resident,2,none ,no ,1
252,x >= 200 DM / salary assignments for at least 1 year ,6,critical account/ other credits existing (not at this bank) ,car (new) ,1299,x < 100 DM ,1 <= x < 4 years ,1,male - single ,none ,1,real estate ,74,none ,own ,3,unemployed/ unskilled - non-resident,2,none ,no ,1
253,no checking account ,13,existing credits paid back duly till now ,radio/television ,1409,100 <= x < 500 DM ,unemployed ,2,female - divorced/separated/married ,none ,4,real estate ,64,none ,own ,1,skilled employee / official,1,none ,yes ,1
254,no checking account ,36,critical account/ other credits existing (not at this bank) ,furniture/equipment ,7127,x < 100 DM ,x < 1 year ,2,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,23,none ,rent ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
255,no checking account ,36,critical account/ other credits existing (not at this bank) ,radio/television ,9566,x < 100 DM ,1 <= x < 4 years ,2,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",31,stores ,own ,2,skilled employee / official,1,none ,yes ,1
256,0 <= x < 200 DM ,30,critical account/ other credits existing (not at this bank) ,furniture/equipment ,8386,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,2,building society savings agreement/ life insurance ,49,none ,own ,1,skilled employee / official,1,none ,yes ,2
257,0 <= x < 200 DM ,36,critical account/ other credits existing (not at this bank) ,car (used) ,5800,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,4,"car or other, not in attribute Account ",34,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
258,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,2996,unknown/ no savings account ,1 <= x < 4 years ,2,male - married/widowed ,none ,4,"car or other, not in attribute Account ",20,none ,own ,1,skilled employee / official,1,none ,yes ,2
259,0 <= x < 200 DM ,12,existing credits paid back duly till now ,furniture/equipment ,951,100 <= x < 500 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",27,bank ,rent ,4,skilled employee / official,1,none ,yes ,2
260,x < 0 DM ,24,no credits taken/ all credits paid back duly ,furniture/equipment ,4110,x < 100 DM ,x>= 7 years ,3,male - single ,none ,4,unknown / no property ,23,bank ,rent ,2,skilled employee / official,2,none ,yes ,2
261,no checking account ,24,all credits at this bank paid back duly ,business ,1559,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",50,bank ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
262,x < 0 DM ,28,existing credits paid back duly till now ,car (new) ,4006,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,2,"car or other, not in attribute Account ",45,none ,own ,1,unskilled - resident,1,none ,yes ,2
263,no checking account ,18,existing credits paid back duly till now ,car (new) ,2662,unknown/ no savings account ,4 <= x < 7 years ,4,male - single ,none ,3,building society savings agreement/ life insurance ,32,none ,own ,1,skilled employee / official,1,none ,no ,1
264,no checking account ,30,critical account/ other credits existing (not at this bank) ,radio/television ,5771,x < 100 DM ,4 <= x < 7 years ,4,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",25,none ,own ,2,skilled employee / official,1,none ,yes ,1
265,x < 0 DM ,21,critical account/ other credits existing (not at this bank) ,car (new) ,571,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,real estate ,65,none ,own ,2,skilled employee / official,1,none ,yes ,1
266,0 <= x < 200 DM ,36,no credits taken/ all credits paid back duly ,business ,1953,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,61,none ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
267,x >= 200 DM / salary assignments for at least 1 year ,30,critical account/ other credits existing (not at this bank) ,radio/television ,3656,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,49,stores ,own ,2,unskilled - resident,1,none ,yes ,1
268,x < 0 DM ,36,existing credits paid back duly till now ,car (used) ,8335,unknown/ no savings account ,x>= 7 years ,3,male - single ,none ,4,unknown / no property ,47,none ,for free ,1,skilled employee / official,1,none ,yes ,2
269,x < 0 DM ,48,existing credits paid back duly till now ,car (used) ,10297,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,4,unknown / no property ,39,stores ,for free ,3,skilled employee / official,2,"yes, registered under the customers name ",yes ,2
270,x < 0 DM ,12,existing credits paid back duly till now ,domestic appliances ,741,100 <= x < 500 DM ,unemployed ,4,female - divorced/separated/married ,none ,3,building society savings agreement/ life insurance ,22,none ,own ,1,skilled employee / official,1,none ,yes ,2
271,x < 0 DM ,45,existing credits paid back duly till now ,radio/television ,1845,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,unknown / no property ,23,none ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
272,x < 0 DM ,48,critical account/ other credits existing (not at this bank) ,car (used) ,6331,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,46,none ,for free ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
273,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,1747,x < 100 DM ,x < 1 year ,4,male - single ,co-applicant ,1,building society savings agreement/ life insurance ,24,none ,own ,1,unskilled - resident,1,none ,no ,1
274,no checking account ,18,critical account/ other credits existing (not at this bank) ,car (used) ,3229,unknown/ no savings account ,unemployed ,2,male - single ,none ,4,unknown / no property ,38,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
275,0 <= x < 200 DM ,24,critical account/ other credits existing (not at this bank) ,car (new) ,3878,100 <= x < 500 DM ,x < 1 year ,4,male - divorced/separated ,none ,2,"car or other, not in attribute Account ",37,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
276,x < 0 DM ,36,existing credits paid back duly till now ,car (new) ,1842,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",34,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
277,x >= 200 DM / salary assignments for at least 1 year ,36,existing credits paid back duly till now ,radio/television ,5848,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,1,"car or other, not in attribute Account ",24,none ,own ,1,skilled employee / official,1,none ,yes ,1
278,x < 0 DM ,18,existing credits paid back duly till now ,furniture/equipment ,1131,x < 100 DM ,unemployed ,4,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",33,none ,own ,1,skilled employee / official,1,none ,yes ,2
279,no checking account ,24,delay in paying off in the past ,business ,8648,x < 100 DM ,x < 1 year ,2,male - single ,none ,2,"car or other, not in attribute Account ",27,bank ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
280,no checking account ,12,critical account/ other credits existing (not at this bank) ,car (new) ,1163,500 <= x < 1000 DM ,1 <= x < 4 years ,4,male - single ,none ,4,real estate ,44,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
281,x < 0 DM ,15,existing credits paid back duly till now ,business ,806,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,22,none ,own ,1,unskilled - resident,1,none ,yes ,1
282,0 <= x < 200 DM ,36,no credits taken/ all credits paid back duly ,radio/television ,3804,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,1,"car or other, not in attribute Account ",42,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
283,0 <= x < 200 DM ,18,existing credits paid back duly till now ,business ,1913,x>= 1000 DM ,x < 1 year ,3,male - married/widowed ,none ,3,real estate ,36,bank ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
284,0 <= x < 200 DM ,12,existing credits paid back duly till now ,car (new) ,7472,unknown/ no savings account ,unemployed ,1,female - divorced/separated/married ,none ,2,real estate ,24,none ,rent ,1,unemployed/ unskilled - non-resident,1,none ,yes ,1
285,no checking account ,21,critical account/ other credits existing (not at this bank) ,car (new) ,12680,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,30,none ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
286,x < 0 DM ,12,existing credits paid back duly till now ,furniture/equipment ,708,x < 100 DM ,1 <= x < 4 years ,2,male - single ,guarantor ,3,building society savings agreement/ life insurance ,38,none ,own ,1,unskilled - resident,2,none ,yes ,1
287,0 <= x < 200 DM ,12,delay in paying off in the past ,radio/television ,585,x < 100 DM ,1 <= x < 4 years ,4,male - married/widowed ,co-applicant ,4,real estate ,20,none ,rent ,2,skilled employee / official,1,none ,yes ,1
288,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,1155,x < 100 DM ,x>= 7 years ,3,male - married/widowed ,guarantor ,3,real estate ,40,bank ,own ,2,unskilled - resident,1,none ,yes ,1
289,x < 0 DM ,24,all credits at this bank paid back duly ,furniture/equipment ,3552,x < 100 DM ,4 <= x < 7 years ,3,male - single ,none ,4,"car or other, not in attribute Account ",27,bank ,own ,1,skilled employee / official,1,none ,yes ,2
290,0 <= x < 200 DM ,20,delay in paying off in the past ,others ,2629,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,3,"car or other, not in attribute Account ",29,bank ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
291,x < 0 DM ,30,existing credits paid back duly till now ,furniture/equipment ,2406,x < 100 DM ,4 <= x < 7 years ,4,female - divorced/separated/married ,none ,4,real estate ,23,none ,rent ,1,skilled employee / official,1,none ,yes ,2
292,0 <= x < 200 DM ,48,existing credits paid back duly till now ,furniture/equipment ,9960,x < 100 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",26,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
293,0 <= x < 200 DM ,12,existing credits paid back duly till now ,car (used) ,2028,unknown/ no savings account ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",30,none ,own ,1,skilled employee / official,1,none ,yes ,1
294,0 <= x < 200 DM ,30,delay in paying off in the past ,radio/television ,1919,100 <= x < 500 DM ,x < 1 year ,4,male - single ,none ,3,unknown / no property ,30,stores ,own ,2,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,2
295,0 <= x < 200 DM ,12,existing credits paid back duly till now ,car (new) ,1223,x < 100 DM ,x>= 7 years ,1,male - divorced/separated ,none ,1,real estate ,46,none ,rent ,2,skilled employee / official,1,none ,yes ,2
296,no checking account ,12,no credits taken/ all credits paid back duly ,furniture/equipment ,2759,x < 100 DM ,x>= 7 years ,2,male - single ,none ,4,building society savings agreement/ life insurance ,34,none ,own ,2,skilled employee / official,1,none ,yes ,1
297,0 <= x < 200 DM ,24,delay in paying off in the past ,business ,4712,unknown/ no savings account ,1 <= x < 4 years ,4,male - single ,none ,2,building society savings agreement/ life insurance ,37,bank ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
298,no checking account ,48,critical account/ other credits existing (not at this bank) ,car (used) ,11590,100 <= x < 500 DM ,1 <= x < 4 years ,2,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",24,bank ,rent ,2,unskilled - resident,1,none ,yes ,2
299,0 <= x < 200 DM ,24,critical account/ other credits existing (not at this bank) ,furniture/equipment ,4736,x < 100 DM ,x < 1 year ,2,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",25,bank ,own ,1,unskilled - resident,1,none ,yes ,2
300,0 <= x < 200 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,2366,500 <= x < 1000 DM ,4 <= x < 7 years ,3,male - divorced/separated ,none ,3,"car or other, not in attribute Account ",36,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
301,x >= 200 DM / salary assignments for at least 1 year ,10,existing credits paid back duly till now ,domestic appliances ,1225,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,"car or other, not in attribute Account ",37,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
302,no checking account ,12,existing credits paid back duly till now ,radio/television ,2279,unknown/ no savings account ,1 <= x < 4 years ,4,male - single ,none ,4,unknown / no property ,37,none ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
303,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (used) ,2760,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,36,bank ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
304,x < 0 DM ,24,critical account/ other credits existing (not at this bank) ,business ,1382,100 <= x < 500 DM ,4 <= x < 7 years ,4,male - single ,none ,1,real estate ,26,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
305,no checking account ,15,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1520,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,63,none ,own ,1,skilled employee / official,1,none ,yes ,1
306,x >= 200 DM / salary assignments for at least 1 year ,15,critical account/ other credits existing (not at this bank) ,radio/television ,1271,unknown/ no savings account ,1 <= x < 4 years ,3,male - single ,none ,4,unknown / no property ,39,none ,for free ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
307,no checking account ,24,critical account/ other credits existing (not at this bank) ,radio/television ,2424,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,53,none ,own ,2,skilled employee / official,1,none ,yes ,1
308,x < 0 DM ,24,existing credits paid back duly till now ,car (new) ,1442,x < 100 DM ,4 <= x < 7 years ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",23,none ,rent ,2,skilled employee / official,1,none ,yes ,2
309,x < 0 DM ,12,delay in paying off in the past ,car (new) ,1344,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,real estate ,43,none ,own ,2,unskilled - resident,2,none ,yes ,1
310,no checking account ,12,existing credits paid back duly till now ,car (new) ,2859,unknown/ no savings account ,unemployed ,4,male - single ,none ,4,unknown / no property ,38,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
311,no checking account ,18,delay in paying off in the past ,business ,2169,x < 100 DM ,1 <= x < 4 years ,4,male - married/widowed ,none ,2,"car or other, not in attribute Account ",28,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
312,0 <= x < 200 DM ,45,existing credits paid back duly till now ,radio/television ,3031,100 <= x < 500 DM ,1 <= x < 4 years ,4,male - single ,guarantor ,4,building society savings agreement/ life insurance ,21,none ,rent ,1,skilled employee / official,1,none ,yes ,2
313,x < 0 DM ,36,delay in paying off in the past ,business ,2145,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,1,"car or other, not in attribute Account ",24,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
314,no checking account ,30,existing credits paid back duly till now ,car (used) ,4811,unknown/ no savings account ,4 <= x < 7 years ,2,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,24,stores ,rent ,1,unskilled - resident,1,none ,yes ,1
315,x < 0 DM ,12,existing credits paid back duly till now ,car (new) ,1893,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,guarantor ,4,building society savings agreement/ life insurance ,29,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
316,0 <= x < 200 DM ,10,existing credits paid back duly till now ,furniture/equipment ,1521,x < 100 DM ,1 <= x < 4 years ,4,male - divorced/separated ,none ,2,"car or other, not in attribute Account ",31,none ,own ,1,unskilled - resident,1,none ,yes ,1
317,x < 0 DM ,21,delay in paying off in the past ,education ,3414,x < 100 DM ,x < 1 year ,2,male - single ,none ,1,building society savings agreement/ life insurance ,26,none ,own ,2,skilled employee / official,1,none ,yes ,2
318,no checking account ,24,existing credits paid back duly till now ,car (used) ,2603,x>= 1000 DM ,1 <= x < 4 years ,2,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",28,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
319,x < 0 DM ,13,critical account/ other credits existing (not at this bank) ,business ,1797,x < 100 DM ,x < 1 year ,3,male - single ,none ,1,building society savings agreement/ life insurance ,28,bank ,own ,2,unskilled - resident,1,none ,yes ,1
320,no checking account ,6,existing credits paid back duly till now ,furniture/equipment ,2978,500 <= x < 1000 DM ,1 <= x < 4 years ,1,male - single ,none ,2,"car or other, not in attribute Account ",32,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
321,no checking account ,18,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1817,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,2,unknown / no property ,28,none ,own ,2,skilled employee / official,1,none ,yes ,1
322,x < 0 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,691,x < 100 DM ,x>= 7 years ,4,male - single ,none ,3,building society savings agreement/ life insurance ,35,none ,own ,2,skilled employee / official,1,none ,yes ,2
323,no checking account ,18,critical account/ other credits existing (not at this bank) ,car (new) ,1530,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,2,building society savings agreement/ life insurance ,32,bank ,own ,2,skilled employee / official,1,none ,yes ,2
324,x < 0 DM ,9,existing credits paid back duly till now ,car (new) ,654,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,3,"car or other, not in attribute Account ",28,none ,own ,1,unskilled - resident,1,none ,yes ,2
325,x < 0 DM ,18,existing credits paid back duly till now ,furniture/equipment ,2659,x>= 1000 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",28,none ,own ,1,skilled employee / official,1,none ,yes ,1
326,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (used) ,11560,x < 100 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",23,none ,rent ,2,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,2
327,no checking account ,36,existing credits paid back duly till now ,radio/television ,2394,unknown/ no savings account ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",25,none ,own ,1,skilled employee / official,1,none ,yes ,1
328,x < 0 DM ,18,no credits taken/ all credits paid back duly ,furniture/equipment ,3114,x < 100 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,26,none ,rent ,1,skilled employee / official,1,none ,yes ,2
329,x < 0 DM ,24,all credits at this bank paid back duly ,others ,1358,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,3,"car or other, not in attribute Account ",40,stores ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
330,0 <= x < 200 DM ,6,existing credits paid back duly till now ,car (new) ,14555,unknown/ no savings account ,unemployed ,1,male - single ,none ,2,building society savings agreement/ life insurance ,23,none ,own ,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes ,2
331,0 <= x < 200 DM ,11,delay in paying off in the past ,radio/television ,4771,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,4,building society savings agreement/ life insurance ,51,none ,own ,1,skilled employee / official,1,none ,yes ,1
332,0 <= x < 200 DM ,21,critical account/ other credits existing (not at this bank) ,furniture/equipment ,2745,x>= 1000 DM ,4 <= x < 7 years ,3,male - single ,none ,2,"car or other, not in attribute Account ",32,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
333,0 <= x < 200 DM ,24,critical account/ other credits existing (not at this bank) ,radio/television ,1216,100 <= x < 500 DM ,x < 1 year ,4,male - single ,none ,4,unknown / no property ,38,bank ,own ,2,skilled employee / official,2,none ,yes ,2
334,x >= 200 DM / salary assignments for at least 1 year ,15,existing credits paid back duly till now ,radio/television ,2327,x < 100 DM ,x < 1 year ,2,female - divorced/separated/married ,none ,3,real estate ,25,none ,own ,1,unskilled - resident,1,none ,yes ,2
335,0 <= x < 200 DM ,9,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1919,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,3,"car or other, not in attribute Account ",35,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
336,x >= 200 DM / salary assignments for at least 1 year ,10,existing credits paid back duly till now ,furniture/equipment ,1275,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,2,building society savings agreement/ life insurance ,23,none ,own ,1,skilled employee / official,1,none ,yes ,1
337,x >= 200 DM / salary assignments for at least 1 year ,6,existing credits paid back duly till now ,furniture/equipment ,2116,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,real estate ,41,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
338,no checking account ,24,existing credits paid back duly till now ,furniture/equipment ,3062,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,3,unknown / no property ,32,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
339,no checking account ,24,existing credits paid back duly till now ,radio/television ,1311,100 <= x < 500 DM ,4 <= x < 7 years ,4,male - married/widowed ,none ,3,building society savings agreement/ life insurance ,26,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
340,x < 0 DM ,12,all credits at this bank paid back duly ,retraining ,339,x < 100 DM ,x>= 7 years ,4,male - married/widowed ,none ,1,"car or other, not in attribute Account ",45,bank ,own ,1,unskilled - resident,1,none ,yes ,1
341,no checking account ,48,critical account/ other credits existing (not at this bank) ,radio/television ,3578,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,1,real estate ,47,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
342,no checking account ,9,existing credits paid back duly till now ,car (new) ,3577,100 <= x < 500 DM ,1 <= x < 4 years ,1,male - single ,guarantor ,2,real estate ,26,none ,rent ,1,skilled employee / official,2,none ,no ,1
343,x < 0 DM ,10,critical account/ other credits existing (not at this bank) ,car (new) ,2241,x < 100 DM ,x < 1 year ,1,male - single ,none ,3,real estate ,48,none ,rent ,2,unskilled - resident,2,none ,no ,1
344,x < 0 DM ,48,existing credits paid back duly till now ,domestic appliances ,3051,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,4,"car or other, not in attribute Account ",54,none ,own ,1,skilled employee / official,1,none ,yes ,2
345,no checking account ,48,critical account/ other credits existing (not at this bank) ,car (new) ,10127,500 <= x < 1000 DM ,1 <= x < 4 years ,2,male - single ,none ,2,unknown / no property ,44,bank ,for free ,1,skilled employee / official,1,none ,yes ,2
346,0 <= x < 200 DM ,39,critical account/ other credits existing (not at this bank) ,radio/television ,4933,x < 100 DM ,4 <= x < 7 years ,2,male - single ,guarantor ,2,real estate ,25,none ,own ,2,skilled employee / official,1,none ,yes ,2
347,x < 0 DM ,36,existing credits paid back duly till now ,car (new) ,3249,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,4,unknown / no property ,39,bank ,for free ,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name ",yes ,1
348,x < 0 DM ,48,existing credits paid back duly till now ,car (new) ,3931,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,4,unknown / no property ,46,none ,for free ,1,skilled employee / official,2,none ,yes ,2
349,0 <= x < 200 DM ,15,critical account/ other credits existing (not at this bank) ,radio/television ,1537,unknown/ no savings account ,x>= 7 years ,4,male - single ,guarantor ,4,real estate ,50,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
